Placement,Name,Country,Points,Wins,Losses,Ties,Record,OPW_Percent,OOPW_Percent,Deck
1,Giovanny Sasso,BR,46,15,2,1,15 - 2 - 1,59.82,57.49,gardevoirjellicent
2,andres estefano gajardo lopehandia,CL,43,14,3,1,14 - 3 - 1,67.55,61.02,raging-boltogerpon
3,Cerys Jones,US,43,14,2,1,14 - 2 - 1,67.35,62.13,dragapultdusknoir
4,Jack Wong,CA,41,13,2,2,13 - 2 - 2,65.69,63.97,dragapultdusknoir
5,Brent Tonisson,AU,38,12,2,2,12 - 2 - 2,65.23,61.98,gardevoirjellicent
6,Daniel Merlo,US,38,12,2,2,12 - 2 - 2,63.33,60.49,dragapultdusknoir
7,Katy Montgomerie,UK,37,12,3,1,12 - 3 - 1,64.64,62.37,dragapultdusknoir
8,Justin Templer,US,37,12,3,1,12 - 3 - 1,62.63,59.03,gholdengolunatone
9,Jordan Nelle,US,34,11,3,1,11 - 3 - 1,65.63,58.12,grimmsnarlfroslass
10,Anthony Geiger,US,34,11,3,1,11 - 3 - 1,61.39,58.78,dragapultdusknoir
11,Henry Chao,US,34,11,3,1,11 - 3 - 1,60.16,59.91,gardevoir
12,Luis Guerra,US,34,11,3,1,11 - 3 - 1,54.68,55.57,grimmsnarlfroslass
13,Emma Hagen,NO,33,11,3,0,11 - 3 - 0,67.51,61.2,flareonnoctowl
14,Benjamin Hebert,CA,33,11,3,0,11 - 3 - 0,65.56,61.0,gardevoir
15,Jack Pitcher,CA,33,10,1,3,10 - 1 - 3,63.78,60.09,gardevoir
16,Alex Mullen,US,33,10,1,3,10 - 1 - 3,63.14,58.93,gardevoir
17,Frank Luciano,US,33,11,3,0,11 - 3 - 0,62.04,59.11,charizardnoctowl
18,Liam Halliburton,US,33,10,1,3,10 - 1 - 3,61.03,59.43,zoroark
19,Renaud LEVAIN,FR,33,10,1,3,10 - 1 - 3,58.33,59.08,charizardnoctowl
20,Anthony Romanello,US,32,10,2,2,10 - 2 - 2,65.1,62.48,charizardnoctowl
21,Sanjay Sundararajan,US,32,10,2,2,10 - 2 - 2,62.38,60.25,absol-megakangaskhan-mega
22,Samuel Scime,CA,32,10,2,2,10 - 2 - 2,62.14,59.3,kangaskhan-megabouffalant
23,Neo Erlandsson,US,32,10,2,2,10 - 2 - 2,60.37,59.15,gardevoir
24,James Lu,CA,32,10,2,2,10 - 2 - 2,59.19,59.01,charizardnoctowl
25,Hunter Hawkins,US,31,10,3,1,10 - 3 - 1,64.99,59.89,charizardnoctowl
26,Makani Tran,US,31,10,3,1,10 - 3 - 1,64.73,58.88,gardevoir
27,Calvin Connor,US,31,10,3,1,10 - 3 - 1,63.82,57.46,gardevoirjellicent
28,Riley McKay,CA,31,10,3,1,10 - 3 - 1,63.2,58.99,gardevoir
